Crm Cd,Crm Cd Desc,category,n,in_violent_ucr
624,BATTERY - SIMPLE ASSAULT,violent,260541,False
510,VEHICLE - STOLEN,property,254556,False
330,BURGLARY FROM VEHICLE,property,217236,False
310,BURGLARY,property,201930,False
440,THEFT PLAIN - PETTY ($950 & UNDER),property,195308,False
354,THEFT OF IDENTITY,other,186833,False
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",property,163279,False
626,INTIMATE PARTNER - SIMPLE ASSAULT,violent,158442,False
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",violent,143073,True
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),property,122899,False
210,ROBBERY,violent,114157,True
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),property,113857,False
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",property,104010,False
930,CRIMINAL THREATS - NO WEAPON DISPLAYED,violent,74766,False
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),property,70782,False
331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),property,63108,False
888,TRESPASSING,other,34588,False
901,VIOLATION OF RESTRAINING ORDER,other,30317,False
761,BRANDISH WEAPON,violent,29213,False
956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",other,28935,False
236,INTIMATE PARTNER - AGGRAVATED ASSAULT,violent,27551,True
946,OTHER MISCELLANEOUS CRIME,other,27000,False
649,DOCUMENT FORGERY / STOLEN FELONY,other,26207,False
900,VIOLATION OF COURT ORDER,other,26099,False
480,BIKE - STOLEN,property,21642,False
350,"THEFT, PERSON",property,18700,False
220,ATTEMPTED ROBBERY,violent,16565,True
320,"BURGLARY, ATTEMPTED",property,16281,False
860,BATTERY WITH SEXUAL CONTACT,violent,15494,False
662,"BUNCO, GRAND THEFT",other,15087,False
121,"RAPE, FORCIBLE",violent,14490,True
627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,violent,12758,False
668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",other,11758,False
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),other,11366,False
343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),property,9240,False
625,OTHER ASSAULT,violent,8144,False
664,"BUNCO, PETTY THEFT",other,7426,False
623,BATTERY POLICE (SIMPLE),violent,7265,False
520,VEHICLE - ATTEMPT STOLEN,property,6687,False
237,CHILD NEGLECT (SEE 300 W.I.C.),other,6354,False
753,DISCHARGE FIREARMS/SHOTS FIRED,violent,6345,False
903,CONTEMPT OF COURT,other,6343,False
813,CHILD ANNOYING (17YRS & UNDER),other,6206,False
648,ARSON,property,5980,False
810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",other,5470,False
886,DISTURBING THE PEACE,other,5134,False
850,INDECENT EXPOSURE,other,4641,False
940,EXTORTION,other,4511,False
815,SEXUAL PENETRATION W/FOREIGN OBJECT,violent,4303,True
110,CRIMINAL HOMICIDE,violent,4253,True
437,RESISTING ARREST,other,4195,False
251,SHOTS FIRED AT INHABITED DWELLING,violent,4097,True
928,THREATENING PHONE CALLS/LETTERS,violent,3651,False
410,"BURGLARY FROM VEHICLE, ATTEMPTED",property,3516,False
352,PICKPOCKET,property,3487,False
820,ORAL COPULATION,violent,2803,True
910,KIDNAPPING,violent,2751,False
231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,violent,2661,True
845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,other,2651,False
763,STALKING,violent,2467,False
951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",other,2439,False
647,THROWING OBJECT AT MOVING VEHICLE,violent,2405,False
902,VIOLATION OF TEMPORARY RESTRAINING ORDER,other,2340,False
235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,violent,2285,True
821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,violent,2133,True
441,THEFT PLAIN - ATTEMPT,property,2094,False
421,THEFT FROM MOTOR VEHICLE - ATTEMPT,property,2087,False
762,LEWD CONDUCT,other,2053,False
661,UNAUTHORIZED COMPUTER ACCESS,other,2014,False
522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",property,1945,False
890,FAILURE TO YIELD,other,1913,False
755,BOMB SCARE,other,1594,False
922,CHILD STEALING,violent,1550,False
932,PEEPING TOM,other,1536,False
943,CRUELTY TO ANIMALS,other,1524,False
122,"RAPE, ATTEMPTED",violent,1431,True
434,FALSE IMPRISONMENT,other,1289,False
351,PURSE SNATCHING,property,1284,False
933,PROWLER,other,1131,False
666,"BUNCO, ATTEMPT",other,1072,False
660,COUNTERFEIT,other,948,False
920,KIDNAPPING - GRAND ATTEMPT,violent,941,False
822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,other,925,False
653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",other,922,False
250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",violent,737,True
670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",other,735,False
433,DRIVING WITHOUT OWNER CONSENT (DWOC),other,631,False
949,ILLEGAL DUMPING,other,600,False
805,PIMPING,other,591,False
622,BATTERY ON A FIREFIGHTER,violent,567,False
439,FALSE POLICE REPORT,other,565,False
438,RECKLESS DRIVING,other,508,False
814,CHILD PORNOGRAPHY,other,489,False
806,PANDERING,other,457,False
651,DOCUMENT WORTHLESS ($200.01 & OVER),other,432,False
487,BOAT - STOLEN,property,421,False
654,"CREDIT CARDS, FRAUD USE ($950 & UNDER",other,396,False
450,THEFT FROM PERSON - ATTEMPT,property,393,False
760,LEWD/LASCIVIOUS ACTS WITH CHILD,other,357,False
443,SHOPLIFTING - ATTEMPT,property,352,False
950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",other,310,False
474,"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",property,257,False
954,CONTRIBUTING,other,230,False
921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,violent,217,False
756,WEAPONS POSSESSION/BOMBING,other,216,False
345,DISHONEST EMPLOYEE - GRAND THEFT,property,202,False
444,DISHONEST EMPLOYEE - PETTY THEFT,property,154,False
870,CHILD ABANDONMENT,other,126,False
471,TILL TAP - PETTY ($950 & UNDER),property,117,False
652,DOCUMENT WORTHLESS ($200 & UNDER),other,86,False
347,GRAND THEFT / INSURANCE FRAUD,other,78,False
944,CONSPIRACY,other,75,False
435,LYNCHING,other,66,False
353,DRUNK ROLL,property,64,False
451,PURSE SNATCHING - ATTEMPT,property,59,False
880,DISRUPT SCHOOL,other,57,False
865,"DRUGS, TO A MINOR",other,56,False
473,"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",property,54,False
485,BIKE - ATTEMPTED STOLEN,property,44,False
924,TELEPHONE PROPERTY - DAMAGE,other,41,False
942,BRIBERY,other,40,False
931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",other,40,False
840,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",other,36,False
882,INCITING A RIOT,other,35,False
436,LYNCHING - ATTEMPTED,other,35,False
475,"THEFT, COIN MACHINE - ATTEMPT",property,33,False
470,TILL TAP - GRAND THEFT ($950.01 & OVER),property,33,False
446,PETTY THEFT - AUTO REPAIR,other,32,False
452,"PICKPOCKET, ATTEMPT",property,28,False
884,FAILURE TO DISPERSE,other,23,False
948,BIGAMY,other,23,False
349,GRAND THEFT / AUTO REPAIR,other,21,False
830,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),other,17,False
113,"MANSLAUGHTER, NEGLIGENT",violent,16,True
445,DISHONEST EMPLOYEE ATTEMPTED THEFT,property,12,False
432,BLOCKING DOOR INDUCTION CENTER,other,9,False
952,ABORTION/ILLEGAL,other,7,False
906,FIREARMS RESTRAINING ORDER (FIREARMS RO),other,6,False
904,FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO),other,5,False
472,TILL TAP - ATTEMPT,property,4,False
926,TRAIN WRECKING,other,3,False
453,DRUNK ROLL - ATTEMPT,property,1,False
905,FIREARMS TEMPORARY RESTRAINING ORDER (TEMP FIREARMS RO),other,1,False
