category,n_codes,incident_count,share_of_all,sample_codes_desc,overlaps_with_siblings
violent,32,928072,0.30828204555842553,"624 (BATTERY - SIMPLE ASSAULT); 626 (INTIMATE PARTNER - SIMPLE ASSAULT); 230 (ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT); 210 (ROBBERY); 930 (CRIMINAL THREATS - NO WEAPON DISPLAYED); 761 (BRANDISH WEAPON); 236 (INTIMATE PARTNER - AGGRAVATED ASSAULT); 220 (ATTEMPTED ROBBERY); ... (32 codes total)",parent aggregate (nests subcategories)
violent_ucr,15,340555,0.11312375766659226,"230 (ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT); 210 (ROBBERY); 236 (INTIMATE PARTNER - AGGRAVATED ASSAULT); 220 (ATTEMPTED ROBBERY); 121 (RAPE, FORCIBLE); 815 (SEXUAL PENETRATION W/FOREIGN OBJECT); 110 (CRIMINAL HOMICIDE); 251 (SHOTS FIRED AT INHABITED DWELLING); ... (15 codes total)",parent aggregate (nests subcategories)
interpersonal,13,717198,0.2382350361937562,"624 (BATTERY - SIMPLE ASSAULT); 626 (INTIMATE PARTNER - SIMPLE ASSAULT); 230 (ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT); 930 (CRIMINAL THREATS - NO WEAPON DISPLAYED); 236 (INTIMATE PARTNER - AGGRAVATED ASSAULT); 860 (BATTERY WITH SEXUAL CONTACT); 627 (CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT); 625 (OTHER ASSAULT); ... (13 codes total)",none
robbery,2,130722,0.043422542172900924,210 (ROBBERY); 220 (ATTEMPTED ROBBERY),none
property,39,1602136,0.5321890578993803,"510 (VEHICLE - STOLEN); 330 (BURGLARY FROM VEHICLE); 310 (BURGLARY); 440 (THEFT PLAIN - PETTY ($950 & UNDER)); 740 (VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)); 420 (THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)); 745 (VANDALISM - MISDEAMEANOR ($399 OR UNDER)); 341 (THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD); ... (39 codes total)",parent aggregate (nests subcategories)
theft,29,616869,0.2049082799196403,"440 (THEFT PLAIN - PETTY ($950 & UNDER)); 420 (THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)); 341 (THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD); 442 (SHOPLIFTING - PETTY THEFT ($950 & UNDER)); 331 (THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)); 480 (BIKE - STOLEN); 350 (THEFT, PERSON); 343 (SHOPLIFTING-GRAND THEFT ($950.01 & OVER)); ... (29 codes total)",none
structure_burglary,2,218211,0.07248417519691316,"310 (BURGLARY); 320 (BURGLARY, ATTEMPTED)",none
vehicle_burglary,2,220752,0.07332823112981919,"330 (BURGLARY FROM VEHICLE); 410 (BURGLARY FROM VEHICLE, ATTEMPTED)",none
motor_vehicle_theft,3,263188,0.08742439703647012,"510 (VEHICLE - STOLEN); 520 (VEHICLE - ATTEMPT STOLEN); 522 (VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC))",none
vandalism,2,277136,0.09205756986298458,"740 (VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)); 745 (VANDALISM - MISDEAMEANOR ($399 OR UNDER))",none
arson,1,5980,0.0019864047535529407,648 (ARSON),none
