outcome,threshold,coef,se,p,pct,n,n_hot_days
violent,hot30,0.06554312909149511,0.007568331438786855,4.710108699980996e-18,6.773878692428603,5113.0,190
violent,hot32,0.07317124705304148,0.01294438170202114,1.579084594756806e-08,7.591476837311384,5113.0,82
violent,hot35,0.0746268900700035,0.01536637238069208,1.1947475449853313e-06,7.748205662189633,5113.0,26
violent_ucr,hot30,0.05392721390551657,0.012721665049904806,2.2451170354083452e-05,5.540778034891525,5113.0,190
violent_ucr,hot32,0.05286580097849568,0.021614372830209866,0.014450578384785364,5.4288151187121825,5113.0,82
violent_ucr,hot35,0.04022929885734844,0.024252775102812943,0.09716611167592797,4.104945827757467,5113.0,26
interpersonal,hot30,0.07595199392266902,0.007808453619890378,2.315573529191106e-22,7.891077863977136,5113.0,190
interpersonal,hot32,0.08945215932111193,0.01284748077982788,3.339958393208356e-12,9.35750146897638,5113.0,82
interpersonal,hot35,0.09270183476484417,0.017747577732799585,1.7571349568666963e-07,9.713455911041313,5113.0,26
robbery,hot30,0.04000931681256034,0.017773120277386784,0.024378328859924563,4.082047127645505,5113.0,190
robbery,hot32,0.01084869687471754,0.025875049495556763,0.6750169868126613,1.0907757369902127,5113.0,82
robbery,hot35,0.01834465909452196,0.04013848330823976,0.6476464730048379,1.8513955999994947,5113.0,26
property,hot30,-0.004822119066907521,0.006734090068178401,0.47394453341135223,-0.4810511316240218,5113.0,190
property,hot32,0.0011176776974231306,0.008297561817811659,0.8928494428637312,0.11183025319070339,5113.0,82
property,hot35,-0.006480505183434737,0.014131816238439439,0.6465390089666085,-0.6459551996563562,5113.0,26
theft,hot30,0.01824335297653145,0.007449445061491913,0.01432714935826179,1.8410779531285337,5113.0,190
theft,hot32,0.030397360117585717,0.011882690574741514,0.010523947119580535,3.0864076850913635,5113.0,82
theft,hot35,0.02213926271028338,0.017865026339703646,0.21525233186415405,2.2386154823644366,5113.0,26
burglary,hot30,-0.023760380190314137,0.012508582177067214,0.05749531865913099,-2.3480324815863485,5113.0,190
burglary,hot32,-0.02260835177127496,0.014331846173750402,0.11468269693474678,-2.235469814583535,5113.0,82
burglary,hot35,-0.011563519837103187,0.01813018502605559,0.5236007257755928,-1.14969193009824,5113.0,26
vehicle_theft,hot30,-0.04257823963907484,0.011808310840201288,0.0003112097577839889,-4.16845156698793,5113.0,190
vehicle_theft,hot32,-0.05275959832283636,0.015316402129340587,0.0005718056615557106,-5.139196796506928,5113.0,82
vehicle_theft,hot35,-0.0785694719768738,0.034471086676894115,0.02265005814521277,-7.556216482323808,5113.0,26
