outcome,threshold,coef,se,p,pct,n,n_hot_days
violent,hot30,0.06554312909149511,0.007568331438786855,4.710108699980996e-18,6.773878692428603,5113.0,190
violent,hot32,0.07317124705304148,0.01294438170202114,1.579084594756806e-08,7.591476837311384,5113.0,82
violent,hot35,0.0746268900700035,0.01536637238069208,1.1947475449853313e-06,7.748205662189633,5113.0,26
violent_ucr,hot30,0.05392721390551657,0.012721665049904806,2.2451170354083452e-05,5.540778034891525,5113.0,190
violent_ucr,hot32,0.05286580097849568,0.021614372830209866,0.014450578384785364,5.4288151187121825,5113.0,82
violent_ucr,hot35,0.04022929885734844,0.024252775102812943,0.09716611167592797,4.104945827757467,5113.0,26
interpersonal,hot30,0.07595199392266902,0.007808453619890378,2.315573529191106e-22,7.891077863977136,5113.0,190
interpersonal,hot32,0.08945215932111193,0.01284748077982788,3.339958393208356e-12,9.35750146897638,5113.0,82
interpersonal,hot35,0.09270183476484417,0.017747577732799585,1.7571349568666963e-07,9.713455911041313,5113.0,26
robbery,hot30,0.04000931681256034,0.017773120277386784,0.024378328859924563,4.082047127645505,5113.0,190
robbery,hot32,0.01084869687471754,0.025875049495556763,0.6750169868126613,1.0907757369902127,5113.0,82
robbery,hot35,0.01834465909452196,0.04013848330823976,0.6476464730048379,1.8513955999994947,5113.0,26
property,hot30,-0.004822119066907521,0.006734090068178401,0.47394453341135223,-0.4810511316240218,5113.0,190
property,hot32,0.0011176776974231306,0.008297561817811659,0.8928494428637312,0.11183025319070339,5113.0,82
property,hot35,-0.006480505183434737,0.014131816238439439,0.6465390089666085,-0.6459551996563562,5113.0,26
theft,hot30,0.003269751103254455,0.00854108085862557,0.7018484972115244,0.327510257045871,5113.0,190
theft,hot32,0.013160263111886894,0.013644426328472832,0.3347874519767191,1.3247240504122848,5113.0,82
theft,hot35,-0.004008034064942545,0.0227720086248257,0.8602884036653349,-0.40000126167339944,5113.0,26
structure_burglary,hot30,-0.026244037045991493,0.016095320692802548,0.10298777466320448,-2.590265523786972,5113.0,190
structure_burglary,hot32,-0.03039427467401566,0.020746967565098924,0.14292134920411445,-2.993701312869279,5113.0,82
structure_burglary,hot35,0.0002117790592688351,0.029733108983860928,0.9943169813475823,0.02118014860370554,5113.0,26
vehicle_burglary,hot30,-0.021159897699850286,0.01592459425953428,0.18392853405499554,-2.0937597773312056,5113.0,190
vehicle_burglary,hot32,-0.017388298105608907,0.020078949253422042,0.3864921268072554,-1.7237994088017294,5113.0,82
vehicle_burglary,hot35,-0.033549013464246324,0.0453668081244701,0.4595999762736567,-3.2992486318344394,5113.0,26
motor_vehicle_theft,hot30,-0.040528482850226616,0.012502183917601394,0.0011881391899851213,-3.9718187441158403,5113.0,190
motor_vehicle_theft,hot32,-0.05738789427032698,0.01716440152895958,0.0008275097060020391,-5.577226220721632,5113.0,82
motor_vehicle_theft,hot35,-0.08578386921219738,0.038311736352697724,0.025149307815097565,-8.220742698265992,5113.0,26
vandalism,hot30,0.041678658329961885,0.012928479085788742,0.0012650761199782398,4.255940713640727,5113.0,190
vandalism,hot32,0.06241478304452676,0.020037222166184875,0.0018398113979346809,6.44037498059844,5113.0,82
vandalism,hot35,0.07039958946154284,0.02161853336383167,0.0011281633310801728,7.293682985689265,5113.0,26
arson,hot30,0.05621457445055863,0.04485382275584207,0.2101024012070285,5.7824641527311815,5113.0,190
arson,hot32,0.10071387445370517,0.06482924863267144,0.12029770262062865,10.596015303486016,5113.0,82
arson,hot35,0.09605272155179453,0.11961091204914175,0.4219498044876058,10.08170992498254,5113.0,26
