outcome,threshold,coef,se,p,pct,n,n_hot_days
violent,hot35,0.0746268900700035,0.01536637238069208,1.1947475449853313e-06,7.748205662189633,5113.0,26
violent,hot_p95,0.058651891785095,0.006155490399401219,1.5974664193051302e-21,6.040604042924835,5113.0,286
violent,hot_p95_clim,0.06101486950437862,0.005831967325380006,1.2890820176742435e-25,6.2914719084758985,5113.0,356
violent_ucr,hot35,0.04022929885734844,0.024252775102812943,0.09716611167592797,4.104945827757467,5113.0,26
violent_ucr,hot_p95,0.057156404541790135,0.010136015365094848,1.7109797438964125e-08,5.882140192173435,5113.0,286
violent_ucr,hot_p95_clim,0.05458535212736201,0.008722267310509861,3.8954384585652396e-10,5.610261317173482,5113.0,356
interpersonal,hot35,0.09270183476484417,0.017747577732799585,1.7571349568666963e-07,9.713455911041313,5113.0,26
interpersonal,hot_p95,0.0656867697885713,0.006273001637772429,1.1696802173637075e-25,6.789216868360293,5113.0,286
interpersonal,hot_p95_clim,0.0673227246210593,0.0060120929658426655,4.175847062861638e-29,6.964062184277875,5113.0,356
robbery,hot35,0.01834465909452196,0.04013848330823976,0.6476464730048379,1.8513955999994947,5113.0,26
robbery,hot_p95,0.04737960944753675,0.014036548564410582,0.0007369619612847112,4.851996162496763,5113.0,286
robbery,hot_p95_clim,0.05029173617513677,0.012283588125640114,4.235883930404191e-05,5.157783492590262,5113.0,356
property,hot35,-0.006480505183434737,0.014131816238439439,0.6465390089666085,-0.6459551996563562,5113.0,26
property,hot_p95,-0.006317223708865782,0.005264034443427011,0.23011113052272014,-0.6297312002137345,5113.0,286
property,hot_p95_clim,-0.006801890740027565,0.005046003634458833,0.17766616918521938,-0.6778810241200306,5113.0,356
theft,hot35,-0.004008034064942545,0.0227720086248257,0.8602884036653349,-0.40000126167339944,5113.0,26
theft,hot_p95,0.001608311966960832,0.0068036016789394145,0.8131290782862249,0.16096059942924956,5113.0,286
theft,hot_p95_clim,0.003532944421008405,0.006844677758818611,0.6057431190649524,0.35391926251684414,5113.0,356
structure_burglary,hot35,0.0002117790592688351,0.029733108983860928,0.9943169813475823,0.02118014860370554,5113.0,26
structure_burglary,hot_p95,-0.02798126096694642,0.012179504766810467,0.021595649588541446,-2.7593411410277935,5113.0,286
structure_burglary,hot_p95_clim,-0.025533131597717744,0.010581444797344382,0.015821387583710714,-2.5209917922138336,5113.0,356
vehicle_burglary,hot35,-0.033549013464246324,0.0453668081244701,0.4595999762736567,-3.2992486318344394,5113.0,26
vehicle_burglary,hot_p95,-0.034300313198465646,0.011979210277308177,0.00419226843287155,-3.371872596037595,5113.0,286
vehicle_burglary,hot_p95_clim,-0.038421698006041186,0.010594573608400545,0.0002872387746346953,-3.7692947649155317,5113.0,356
motor_vehicle_theft,hot35,-0.08578386921219738,0.038311736352697724,0.025149307815097565,-8.220742698265992,5113.0,26
motor_vehicle_theft,hot_p95,-0.028238518062918827,0.010075843169424054,0.005069312216520421,-2.784353773059811,5113.0,286
motor_vehicle_theft,hot_p95_clim,-0.026833798704844293,0.00906266594018638,0.0030672490975852166,-2.647697113240699,5113.0,356
vandalism,hot35,0.07039958946154284,0.02161853336383167,0.0011281633310801728,7.293682985689265,5113.0,26
vandalism,hot_p95,0.036826001121844115,0.01021028406925229,0.00031004921683401966,3.751247912414435,5113.0,286
vandalism,hot_p95_clim,0.0269460545219775,0.009651626978701007,0.00524049642453929,2.7312382411116554,5113.0,356
arson,hot35,0.09605272155179453,0.11961091204914175,0.4219498044876058,10.08170992498254,5113.0,26
arson,hot_p95,0.057061088259238495,0.03530466149960684,0.10604070633728575,5.8720483811463,5113.0,286
arson,hot_p95_clim,0.057612887537298076,0.03268997147117226,0.07800131608421361,5.930484622064736,5113.0,356
