outcome,term,coef,se,p,pct,n
violent,temp_anom,0.015376563137252872,0.0009966636705277551,1.0604830080875832e-53,1.5495390756444793,5113.0
violent,I(temp_anom ** 2),-0.0004149740965868076,0.00017650035237318047,0.018716828926674495,-0.04148880067451621,5113.0
violent_ucr,temp_anom,0.015848567600279213,0.0014958599359222973,3.144947064550809e-26,1.5974822251066056,5113.0
violent_ucr,I(temp_anom ** 2),-0.0006467589735171237,0.0002689939512465332,0.016200698778182317,-0.06465498700145567,5113.0
interpersonal,temp_anom,0.016252864575837175,0.0010462992107446657,2.0529356051015256e-54,1.6385660843749372,5113.0
interpersonal,I(temp_anom ** 2),-0.0003630823717376834,0.00018971045101384308,0.055635939274197924,-0.036301646531011755,5113.0
robbery,temp_anom,0.013526464785707983,0.0016714652259468697,5.841437597399011e-16,1.3618361287968783,5113.0
robbery,I(temp_anom ** 2),-0.0007710282804915519,0.0003341092349741466,0.021015095295035098,-0.07707311145662699,5113.0
property,temp_anom,0.002876329115955336,0.0007918336028930662,0.00028069743469509795,0.2880469719508172,5113.0
property,I(temp_anom ** 2),-0.0004042691689124121,0.00013976774187767632,0.0038226774561117504,-0.040418746314263565,5113.0
theft,temp_anom,0.004310913508641603,0.0010151330568370408,2.1699175368501666e-05,0.43202188630020455,5113.0
theft,I(temp_anom ** 2),-0.0001002592493214488,0.00016973089135175197,0.5547245600215165,-0.010025422353088231,5113.0
burglary,temp_anom,1.2493751653849978e-05,0.0012031417123575185,0.9917146980321637,0.001249382970103241,5113.0
burglary,I(temp_anom ** 2),-0.00063084659468398,0.00022983929464386429,0.006056087123488937,-0.06306476528070704,5113.0
vehicle_theft,temp_anom,0.0029959950051368783,0.0011999276077468005,0.01253149755281719,0.30004874835327655,5113.0
vehicle_theft,I(temp_anom ** 2),-0.0009399735601648572,0.0002550983551190654,0.00022892759551408233,-0.09395319234044575,5113.0
