outcome,bin,coef,se,p,pct
violent,"C(tmax_bin, Treatment(reference='20_25'))[T.15_20]",-0.03045859973515841,0.00480113655277158,2.2381746219100175e-10,-2.9999410482757227
violent,"C(tmax_bin, Treatment(reference='20_25'))[T.25_30]",0.039194262339431046,0.004539151959391386,5.887603531133637e-18,3.9972491517408226
violent,"C(tmax_bin, Treatment(reference='20_25'))[T.30_35]",0.07060804954972781,0.008293060451602384,1.6787100285059482e-17,7.316051767724296
violent,"C(tmax_bin, Treatment(reference='20_25'))[T.ge35]",0.09240266657540291,0.012906063723890264,8.089393124626799e-13,9.680638044354705
violent,"C(tmax_bin, Treatment(reference='20_25'))[T.lt15]",-0.08965210769646187,0.013956405379900061,1.3297950057337946e-10,-8.575080979092464
violent_ucr,"C(tmax_bin, Treatment(reference='20_25'))[T.15_20]",-0.04285852143303413,0.007093055015130081,1.5191202750523362e-09,-4.195307641490453
violent_ucr,"C(tmax_bin, Treatment(reference='20_25'))[T.25_30]",0.0409457597506363,0.0067448856785123495,1.274030298834077e-09,4.179559676001388
violent_ucr,"C(tmax_bin, Treatment(reference='20_25'))[T.30_35]",0.06108903852448773,0.013411049465769563,5.235384499937129e-06,6.299355735157541
violent_ucr,"C(tmax_bin, Treatment(reference='20_25'))[T.ge35]",0.056002755446053876,0.024874017614211014,0.024356672626825834,5.760059789399041
violent_ucr,"C(tmax_bin, Treatment(reference='20_25'))[T.lt15]",-0.09978393881669823,0.017859782460383833,2.3092640389869597e-08,-9.496706059927574
interpersonal,"C(tmax_bin, Treatment(reference='20_25'))[T.15_20]",-0.030764536614350996,0.005027750647563333,9.419609236027979e-10,-3.0296124045804063
interpersonal,"C(tmax_bin, Treatment(reference='20_25'))[T.25_30]",0.03948249480754204,0.004847897631174819,3.8163704372259794e-16,4.027228855895082
interpersonal,"C(tmax_bin, Treatment(reference='20_25'))[T.30_35]",0.07976253887204468,0.008904836608584607,3.32981053919665e-19,8.302985964563202
interpersonal,"C(tmax_bin, Treatment(reference='20_25'))[T.ge35]",0.11175707464485957,0.01522105594279813,2.1000407072458634e-13,11.824117851171923
interpersonal,"C(tmax_bin, Treatment(reference='20_25'))[T.lt15]",-0.08572519406440796,0.014376674289161919,2.479560013296801e-09,-8.215357378789145
robbery,"C(tmax_bin, Treatment(reference='20_25'))[T.15_20]",-0.041514424887705875,0.009072977719043963,4.748300640749757e-06,-4.0664503065151685
robbery,"C(tmax_bin, Treatment(reference='20_25'))[T.25_30]",0.02793069539505852,0.008968346209222482,0.0018434186028463398,2.832441433449384
robbery,"C(tmax_bin, Treatment(reference='20_25'))[T.30_35]",0.04459203966892123,0.018798620388567423,0.017687730133529284,4.560120907089682
robbery,"C(tmax_bin, Treatment(reference='20_25'))[T.ge35]",0.028270306116456118,0.0403245664621197,0.48325991466108176,2.8673703638515846
robbery,"C(tmax_bin, Treatment(reference='20_25'))[T.lt15]",-0.09844874143908189,0.022364788297331382,1.0728092149567168e-05,-9.375785590810782
property,"C(tmax_bin, Treatment(reference='20_25'))[T.15_20]",-0.0023393079683546314,0.0037805334087685637,0.5360631283893267,-0.23365739198119018
property,"C(tmax_bin, Treatment(reference='20_25'))[T.25_30]",0.008452336458762949,0.00358127849133609,0.018267794125026104,0.8488158309552407
property,"C(tmax_bin, Treatment(reference='20_25'))[T.30_35]",-0.0021795638382191215,0.007460036856341771,0.7701602482432044,-0.2177190313685906
property,"C(tmax_bin, Treatment(reference='20_25'))[T.ge35]",-0.00455758429161468,0.01395243254200111,0.743931417913768,-0.4547214264399746
property,"C(tmax_bin, Treatment(reference='20_25'))[T.lt15]",-0.022655848677070822,0.010559940946717057,0.03191670825555768,-2.2401132169894367
theft,"C(tmax_bin, Treatment(reference='20_25'))[T.15_20]",-0.010703715404211944,0.004976028667174243,0.031471794396635694,-1.0646634483325035
theft,"C(tmax_bin, Treatment(reference='20_25'))[T.25_30]",0.011886985931987129,0.004379938622353458,0.0066483840156547885,1.195791692253101
theft,"C(tmax_bin, Treatment(reference='20_25'))[T.30_35]",0.019414641882889917,0.00816284422289629,0.017387183023675395,1.9604331640183936
