design,outcome,term,coef,se,p,pct,fe,cluster_or_hac
LAX city-level,violent,temp_anom,0.015376563137252827,0.0009966636705277573,1.0604830080888694e-53,1.5495390756444571,year-month + DOW,HAC-14
Spatial area×day,violent,temp_anom,0.0006376354763924728,0.004153069140452834,0.8795161101856708,0.0637838809107949,area + date,cluster AREA
LAX city-level,violent,hot35,0.07462689007000345,0.015366372380692097,1.1947475449853933e-06,7.748205662189633,year-month + DOW,HAC-14
Spatial area×day,violent,hot35,-0.016540593707798347,0.007430063894348194,0.03766079594083642,-1.6404549206068375,area + date,cluster AREA
LAX city-level,violent_ucr,temp_anom,0.01584856760027919,0.001495859935922297,3.14494706455126e-26,1.5974822251066056,year-month + DOW,HAC-14
Spatial area×day,violent_ucr,temp_anom,0.0010948123604432483,0.003999698768282185,0.7871038843596428,0.10954118862649409,area + date,cluster AREA
LAX city-level,violent_ucr,hot35,0.04022929885734766,0.024252775102812887,0.09716611167593375,4.104945827757378,year-month + DOW,HAC-14
Spatial area×day,violent_ucr,hot35,-0.021912566803925664,0.013426092210428809,0.11830715950155905,-2.167423053929207,area + date,cluster AREA
LAX city-level,property,temp_anom,0.0028763291159553195,0.0007918336028930672,0.00028069743469512587,0.288046971950795,year-month + DOW,HAC-14
Spatial area×day,property,temp_anom,-0.010613998757109621,0.006289369118765478,0.10702081984603873,-1.0557869034761747,area + date,cluster AREA
LAX city-level,property,hot35,-0.00648050518343557,0.014131816238439513,0.6465390089665679,-0.645955199656445,year-month + DOW,HAC-14
Spatial area×day,property,hot35,-0.03553268650036796,0.012166226936213165,0.008455738791105304,-3.490881173904059,area + date,cluster AREA
LAX city-level,total,temp_anom,0.006265253379887315,0.001018727965757818,7.744632262823816e-10,0.6284921132875487,year-month + DOW,HAC-14
Spatial area×day,total,temp_anom,-0.005247800221324629,0.005967302802322139,0.3896148762143024,-0.5234054573060032,area + date,cluster AREA
LAX city-level,total,hot35,0.02787150525180576,0.015037439776351962,0.0638144341662649,2.826354946641696,year-month + DOW,HAC-14
Spatial area×day,total,hot35,-0.030424673126834473,0.009860555929351707,0.005833568790318604,-2.9966501094433884,area + date,cluster AREA
