outcome,term,coef,se,p,pct,n,n_areas,cluster,fe
violent,hot30,0.0036032361458594757,0.005522052327906909,0.5214974267322522,0.36097356052386953,106964,21,AREA,area + date
violent,prcp,-0.00010529470466836947,0.0008549893290692195,0.9032149536065198,-0.010528916137553246,106964,21,AREA,area + date
violent,hot32,-0.011005778499901017,0.009636602812649284,0.26690983089399506,-1.094543649284141,106964,21,AREA,area + date
violent,prcp,-0.00011870002738804185,0.0008543765200844967,0.8908935136774644,-0.011869298281852458,106964,21,AREA,area + date
violent,hot35,-0.016540593707798347,0.007430063894348194,0.03766079594083642,-1.6404549206068375,106964,21,AREA,area + date
violent,prcp,-0.00011654876268890445,0.0008517844981663121,0.8925340406624663,-0.011654197114574494,106964,21,AREA,area + date
violent_ucr,hot30,0.004987937166142478,0.007429584572783105,0.509670893245786,0.500039763345761,106964,21,AREA,area + date
violent_ucr,prcp,-0.0015871000998582646,0.0009396983390395062,0.10676076010367559,-0.15858413225180445,106964,21,AREA,area + date
violent_ucr,hot32,-0.0075795773427769515,0.010115563086077535,0.46240017572803205,-0.7550924783560564,106964,21,AREA,area + date
violent_ucr,prcp,-0.001599282670398246,0.000938218656361346,0.10375667060328497,-0.1598004499344774,106964,21,AREA,area + date
violent_ucr,hot35,-0.021912566803925664,0.013426092210428809,0.11830715950155905,-2.167423053929207,106964,21,AREA,area + date
violent_ucr,prcp,-0.0016022616481836372,0.0009378550735785474,0.10303115835051026,-0.16009787122801544,106964,21,AREA,area + date
property,hot30,-0.017889681663899336,0.005972645317249127,0.007151634432562456,-1.7730611294090481,106964,21,AREA,area + date
property,prcp,0.0010581149052993621,0.0010591600224455608,0.32972263908118943,0.1058674906373458,106964,21,AREA,area + date
property,hot32,-0.030873069032976534,0.009267177162048255,0.0033271999947761277,-3.0401362641808927,106964,21,AREA,area + date
property,prcp,0.0010534679766236747,0.001060108617947105,0.33222307492821707,0.10540230689193297,106964,21,AREA,area + date
property,hot35,-0.03553268650036796,0.012166226936213165,0.008455738791105304,-3.490881173904059,106964,21,AREA,area + date
property,prcp,0.0010641095471004233,0.001061232377597517,0.3279783975667407,0.10646759125383376,106964,21,AREA,area + date
total,hot30,-0.008617383729669834,0.005394002462921682,0.12581499271273286,-0.8580360502608575,106964,21,AREA,area + date
total,prcp,0.0008215108961590386,0.0010883491045646228,0.4591520978543199,0.08218484286577343,106964,21,AREA,area + date
total,hot32,-0.020736324628236387,0.010274247303595002,0.057175359029924155,-2.052280546307439,106964,21,AREA,area + date
total,prcp,0.0008143891943996493,0.0010907653678095626,0.46397897728716114,0.08147208993192212,106964,21,AREA,area + date
total,hot35,-0.030424673126834473,0.009860555929351707,0.005833568790318604,-2.9966501094433884,106964,21,AREA,area + date
total,prcp,0.0008187561715442424,0.0010873970698258531,0.46025147774289166,0.08190914438743757,106964,21,AREA,area + date
