outcome,term,coef,se,p,pct,n,n_areas,cluster,fe
violent,temp_anom,0.0006376354763924728,0.004153069140452834,0.8795161101856708,0.0637838809107949,106927,21,AREA,area + date
violent,temp_anom_sq,-0.0005841314302625407,0.0003035256188498178,0.06863869002265735,-0.058396085871237347,106927,21,AREA,area + date
violent,prcp,-7.1975272415954e-05,0.000880396002527713,0.9356555318434718,-0.007197268225822562,106927,21,AREA,area + date
violent_ucr,temp_anom,0.0010948123604432483,0.003999698768282185,0.7871038843596428,0.10954118862649409,106927,21,AREA,area + date
violent_ucr,temp_anom_sq,-8.662115091613476e-05,0.00021700933598384765,0.6940064461133758,-0.008661739941262514,106927,21,AREA,area + date
violent_ucr,prcp,-0.0015711837168205108,0.0009131509545383075,0.10075588721857956,-0.15699500538728373,106927,21,AREA,area + date
property,temp_anom,-0.010613998757109621,0.006289369118765478,0.10702081984603873,-1.0557869034761747,106927,21,AREA,area + date
property,temp_anom_sq,0.0002781100306753693,0.00035753796730391904,0.44576365458375683,0.02781487068552746,106927,21,AREA,area + date
property,prcp,0.000890199738732019,0.0010409374322006017,0.40257467310177175,0.08905960841194549,106927,21,AREA,area + date
total,temp_anom,-0.005247800221324629,0.005967302802322139,0.3896148762143024,-0.5234054573060032,106927,21,AREA,area + date
total,temp_anom_sq,-1.0700101686231432e-05,0.00028162047170320347,0.9700685596330277,-0.0010700044440370426,106927,21,AREA,area + date
total,prcp,0.0007449182973436081,0.0011150451640671538,0.5117312820776255,0.07451958178841256,106927,21,AREA,area + date
