outcome,term,coef,se,p,pct,n,n_areas,cluster,fe
violent,bin_lt15,-0.0036948665855415664,0.015105531049222267,0.8092554261736764,-0.36880489653162707,106964,21,AREA,area + date
violent,bin_15_20,0.0008030773789405347,0.010328468475656037,0.9387965564920455,0.08033999319181362,106964,21,AREA,area + date
violent,bin_25_30,0.008534152748556059,0.010684321351569057,0.43381612805546277,0.8570672444419669,106964,21,AREA,area + date
violent,bin_30_35,0.013909620141749804,0.015346984409027518,0.37554521105170807,1.4006809005238097,106964,21,AREA,area + date
violent,bin_ge35,-0.003134236393273826,0.015163633597794208,0.8383383963056471,-0.3129329801867087,106964,21,AREA,area + date
violent,prcp,-8.918795805062859e-05,0.000846762209679524,0.9171645911947401,-0.008918398092294666,106964,21,AREA,area + date
violent_ucr,bin_lt15,0.037567919332376264,0.019508245096743426,0.0684724017719845,3.828251414224071,106964,21,AREA,area + date
violent_ucr,bin_15_20,0.014477268958160715,0.010229818109655607,0.17239190262569834,1.4582572170381614,106964,21,AREA,area + date
violent_ucr,bin_25_30,0.003820293662444593,0.012988247085012785,0.7716859552128565,0.3827600285797539,106964,21,AREA,area + date
violent_ucr,bin_30_35,0.011160168482702165,0.018855724791955412,0.5605683445571901,1.122267547609268,106964,21,AREA,area + date
violent_ucr,bin_ge35,-0.01229587930680488,0.02305887012390656,0.5997446509437387,-1.2220593865656104,106964,21,AREA,area + date
violent_ucr,prcp,-0.0016718742813812651,0.0009385152287858096,0.0900397328962735,-0.16704774781097775,106964,21,AREA,area + date
property,bin_lt15,0.06592922468339983,0.01958821500856727,0.003074618739612657,6.815111575727362,106964,21,AREA,area + date
property,bin_15_20,0.013031806445762066,0.016283872591826676,0.4329472196679858,1.311709050114418,106964,21,AREA,area + date
property,bin_25_30,-0.016878778774075856,0.013240981910041928,0.2170135034606725,-1.6737130258642985,106964,21,AREA,area + date
property,bin_30_35,-0.03034641184280816,0.016737493837983335,0.08485689580752967,-2.989058205653905,106964,21,AREA,area + date
property,bin_ge35,-0.06392808028246398,0.02482139827513379,0.018056678143336134,-6.192753698870879,106964,21,AREA,area + date
property,prcp,0.0008697514495957222,0.0010097024434685185,0.3992311937274955,0.08701297930679974,106964,21,AREA,area + date
total,bin_lt15,0.050537094550944614,0.01569258927791492,0.004291128930536161,5.1835880010982605,106964,21,AREA,area + date
total,bin_15_20,0.0032872600986656886,0.016557921995799127,0.844633881678396,0.3292669063411191,106964,21,AREA,area + date
total,bin_25_30,-0.003003239768635019,0.014691379909184515,0.8400897411986115,-0.2998734555288207,106964,21,AREA,area + date
total,bin_30_35,-0.007528146282265417,0.018966984274315684,0.6956389490414322,-0.7499880762505629,106964,21,AREA,area + date
total,bin_ge35,-0.03640196811227396,0.024900472302602675,0.15930482175367375,-3.574738323261295,106964,21,AREA,area + date
total,prcp,0.0006817176023679695,0.0010504051534879926,0.5237189886378507,0.0681950024625122,106964,21,AREA,area + date
