sample,outcome,term,coef,se,p,pct,n,n_hot35_days
2010_2019,violent,hot35,0.07856676612601732,0.014212225458695755,3.236964214568283e-08,8.17355760450833,3652.0,20.0
2010_2019,violent,temp_anom,0.015470514219689434,0.0012258289033072432,1.628847247751627e-36,1.5590802129546333,3652.0,
2010_2019,violent_ucr,hot35,0.021519014312457008,0.02819850018643377,0.445388135812134,2.1752218068606943,3652.0,20.0
2010_2019,violent_ucr,temp_anom,0.014790420994267932,0.0018486734896291826,1.2385580896391799e-15,1.4900340520962008,3652.0,
2010_2019,total,hot35,0.030607897643771143,0.012085686156933525,0.011322838408217118,3.1081135272156946,3652.0,20.0
2010_2019,total,temp_anom,0.0057305041690426176,0.0012341246268561135,3.427624199410766e-06,0.5746954916739266,3652.0,
2010_2019,property,hot35,-0.00423979202809921,0.011409525845460377,0.7101898912863112,-0.4230816798727388,3652.0,20.0
2010_2019,property,temp_anom,0.002533865794357411,0.0009948647963769538,0.01086705980581745,0.2537078745445065,3652.0,
2010_2023,violent,hot35,0.0746268900700035,0.01536637238069208,1.1947475449853313e-06,7.748205662189633,5113.0,26.0
2010_2023,violent,temp_anom,0.015376563137252872,0.0009966636705277551,1.0604830080875832e-53,1.5495390756444793,5113.0,
2010_2023,violent_ucr,hot35,0.04022929885734844,0.024252775102812943,0.09716611167592797,4.104945827757467,5113.0,26.0
2010_2023,violent_ucr,temp_anom,0.015848567600279213,0.0014958599359222973,3.144947064550809e-26,1.5974822251066056,5113.0,
2010_2023,total,hot35,0.027871505251805984,0.01503743977635197,0.06381443416626295,2.826354946641718,5113.0,26.0
2010_2023,total,temp_anom,0.006265253379887363,0.0010187279657578165,7.74463226282113e-10,0.6284921132875709,5113.0,
2010_2023,property,hot35,-0.006480505183434737,0.014131816238439439,0.6465390089666085,-0.6459551996563562,5113.0,26.0
2010_2023,property,temp_anom,0.002876329115955336,0.0007918336028930662,0.00028069743469509795,0.2880469719508172,5113.0,
excl_2020_2021,violent,hot35,0.07475714070394479,0.016033344420322088,3.122327463134465e-06,7.762240848309276,4382.0,25.0
excl_2020_2021,violent,temp_anom,0.014952650448497778,0.0010959047818716455,2.18855417482757e-42,1.5065000605299028,4382.0,
excl_2020_2021,violent_ucr,hot35,0.03372545560624496,0.024012065830059225,0.16016370211801267,3.4300606311620463,4382.0,25.0
excl_2020_2021,violent_ucr,temp_anom,0.014401396739909476,0.001635881860494033,1.3267866371413826e-18,1.4505596460227865,4382.0,
excl_2020_2021,total,hot35,0.025502407026257834,0.015403137872243584,0.097790063573766,2.5830375468122613,4382.0,25.0
excl_2020_2021,total,temp_anom,0.005571067290886203,0.0011504823430517363,1.2829614524355062e-06,0.5586614544455859,4382.0,
excl_2020_2021,property,hot35,-0.008951550716630674,0.014391676333514984,0.533945155972163,-0.8911604867805067,4382.0,25.0
excl_2020_2021,property,temp_anom,0.0026098931180861054,0.0008938827389406409,0.0035033870611713425,0.2613301853963801,4382.0,
2022_2023,violent,hot35,0.06290673217013176,0.05461713092437351,0.2494128948359874,6.492751112138961,730.0,5.0
2022_2023,violent,temp_anom,0.01191759834789595,0.0020905309768107024,1.1928016044763431e-08,1.198889587333385,730.0,
2022_2023,violent_ucr,hot35,0.09288158896994025,0.014178897025881631,5.727102581010671e-11,9.73317913871039,730.0,5.0
2022_2023,violent_ucr,temp_anom,0.011885847197605146,0.002772728312341719,1.813490701145355e-05,1.1956764571913858,730.0,
2022_2023,total,hot35,0.001898390324221233,0.05812723249457782,0.9739463408226243,0.19001934079379001,730.0,5.0
2022_2023,total,temp_anom,0.004864315966770068,0.003571735035395385,0.17323209535318007,0.48761659579250605,730.0,
2022_2023,property,hot35,-0.033580648695765825,0.053456707477844284,0.529883405998552,-3.3023077341041263,730.0,5.0
2022_2023,property,temp_anom,0.00334419624689207,0.0019023756497910957,0.07876362303810613,0.3349794309761789,730.0,
